Household,Food,Health,COVID_19,Education,Utilities,ClothesandShoes,Housing,HousingRental,HomePurchase,AgriculturalInputs,BusinessVentures,Saving,MigantsComittments,MigrationLoanDebt,OtherDebts,Other
0,,,,,40.0,,60.0,,,,,,,,,
1,50.0,,,,50.0,,,,,,,,,,,
2,,,,100.0,,,,,,,,,,,,
3,20.0,,,80.0,,,,,,,,,,,,
4,60.0,20.0,,,20.0,,,,,,,,,,,
5,80.0,20.0,,,,,,,,,,,,,,
6,100.0,,,,,,,,,,,,,,,
7,35.0,35.0,,,30.0,,,,,,,,,,,
8,,,,100.0,,,,,,,,,,,,
9,50.0,,,50.0,,,,,,,,,,,,
10,60.0,,,,,40.0,,,,,,,,,,
11,50.0,,,,50.0,,,,,,,,,,,
12,100.0,,,,,,,,,,,,,,,
13,,100.0,,,,,,,,,,,,,,
14,50.0,25.0,,,25.0,,,,,,,,,,,
15,70.0,,,,30.0,,,,,,,,,,,
16,50.0,25.0,,,25.0,,,,,,,,,,,
17,20.0,10.0,,,70.0,,,,,,,,,,,
18,100.0,,,,,,,,,,,,,,,
19,50.0,,,,,,,,,,,,,50.0,,
20,50.0,50.0,,,,,,,,,,,,,,
21,75.0,25.0,,,,,,,,,,,,,,
22,50.0,,,,,,50.0,,,,,,,,,
23,50.0,,,,30.0,,20.0,,,,,,,,,
24,,,,,,,100.0,,,,,,,,,
25,100.0,,,,,,,,,,,,,,,
26,80.0,20.0,,,,,,,,,,,,,,
27,50.0,50.0,,,,,,,,,,,,,,
28,60.0,20.0,,,20.0,,,,,,,,,,,
29,100.0,,,,,,,,,,,,,,,
30,100.0,,,,,,,,,,,,,,,
31,40.0,,,,10.0,,50.0,,,,,,,,,
32,50.0,25.0,,25.0,,,,,,,,,,,,
33,100.0,,,,,,,,,,,,,,,
34,,,,,,,,,,,,,,,,100.0
35,70.0,30.0,,,,,,,,,,,,,,
36,100.0,,,,,,,,,,,,,,,
37,40.0,35.0,,,,25.0,,,,,,,,,,
38,40.0,50.0,,,10.0,,,,,,,,,,,
39,80.0,10.0,,,10.0,,,,,,,,,,,
40,75.0,25.0,,,,,,,,,,,,,,
41,50.0,,,,,50.0,,,,,,,,,,
42,50.0,,,,50.0,,,,,,,,,,,
43,75.0,25.0,,,,,,,,,,,,,,
44,,,,,,,,,75.0,,,,,,25.0,
45,20.0,70.0,,,10.0,,,,,,,,,,,
46,,,,,100.0,,,,,,,,,,,
47,,,,50.0,50.0,,,,,,,,,,,
48,,,,100.0,,,,,,,,,,,,
49,75.0,,,25.0,,,,,,,,,,,,
50,,,,,,,,,,,,,,100.0,,
51,70.0,20.0,,,,10.0,,,,,,,,,,
52,,,,,,,100.0,,,,,,,,,
53,80.0,,,,20.0,,,,,,,,,,,
54,50.0,20.0,,,30.0,,,,,,,,,,,
55,,,,,,,100.0,,,,,,,,,
56,50.0,10.0,,,,,,,,,,,,,,40.0
57,50.0,,,,25.0,,,25.0,,,,,,,,
58,80.0,,,,20.0,,,,,,,,,,,
59,70.0,,,,30.0,,,,,,,,,,,
60,75.0,,,,25.0,,,,,,,,,,,
61,100.0,,,,,,,,,,,,,,,
62,100.0,,,,,,,,,,,,,,,
63,80.0,,,,20.0,,,,,,,,,,,
64,80.0,10.0,,,10.0,,,,,,,,,,,
65,100.0,,,,,,,,,,,,,,,
66,40.0,30.0,,,30.0,,,,,,,,,,,
67,50.0,25.0,,,25.0,,,,,,,,,,,
68,50.0,,,,50.0,,,,,,,,,,,
69,50.0,50.0,,,,,,,,,,,,,,
70,75.0,,,,25.0,,,,,,,,,,,
71,,100.0,,,,,,,,,,,,,,
72,80.0,,,,20.0,,,,,,,,,,,
73,50.0,,,40.0,10.0,,,,,,,,,,,
74,50.0,,,30.0,,20.0,,,,,,,,,,
75,25.0,,,,,,,,,,,,,75.0,,
76,60.0,,,,,40.0,,,,,,,,,,
77,80.0,,,,,20.0,,,,,,,,,,
78,70.0,,,,30.0,,,,,,,,,,,
