Household,avg_income_usd,country,rural_urban,remesa_amount_usd,monthly_remesa_amount,Food,Health,COVID_19,Education,Utilities,ClothesandShoes,Housing,HousingRental,HomePurchase,AgriculturalInputs,BusinessVentures,Saving,MigantsComittments,MigrationLoanDebt,OtherDebts,Other,Tsum_check
0,240.0,SLV,2,100.0,100.0,,,,,40.0,,60.0,,,,,,,,,,100.0
1,600.0,SLV,2,300.0,100.0,50.0,,,,50.0,,,,,,,,,,,,100.0
2,550.0,SLV,2,75.0,75.0,,,,100.0,,,,,,,,,,,,,100.0
3,500.0,SLV,2,100.0,50.0,20.0,,,80.0,,,,,,,,,,,,,100.0
4,180.0,SLV,2,150.0,50.0,,,,,,,,,,,,,,,,,0.0
5,180.0,SLV,2,110.0,220.0,60.0,20.0,,,20.0,,,,,,,,,,,,100.0
6,280.0,SLV,2,100.0,8.333333333333334,80.0,20.0,,,,,,,,,,,,,,,100.0
7,300.0,SLV,2,50.0,25.0,100.0,,,,,,,,,,,,,,,,100.0
8,350.0,SLV,2,250.0,41.666666666666664,35.0,35.0,,,30.0,,,,,,,,,,,,100.0
9,500.0,SLV,2,120.0,120.0,,,,100.0,,,,,,,,,,,,,100.0
10,360.0,SLV,2,100.0,50.0,50.0,,,50.0,,,,,,,,,,,,,100.0
11,300.0,SLV,2,25.0,8.333333333333334,60.0,,,,,40.0,,,,,,,,,,,100.0
12,1600.0,SLV,2,400.0,400.0,50.0,,,,50.0,,,,,,,,,,,,100.0
13,300.0,SLV,2,50.0,50.0,100.0,,,,,,,,,,,,,,,,100.0
14,300.0,SLV,2,500.0,166.66666666666666,,100.0,,,,,,,,,,,,,,,100.0
15,320.0,SLV,2,150.0,300.0,50.0,25.0,,,25.0,,,,,,,,,,,,100.0
16,100.0,SLV,2,300.0,100.0,70.0,,,,30.0,,,,,,,,,,,,100.0
17,600.0,SLV,2,200.0,200.0,50.0,25.0,,,25.0,,,,,,,,,,,,100.0
18,300.0,SLV,2,200.0,100.0,,,,,,,,,,,,,,,,,0.0
19,400.0,SLV,2,350.0,350.0,20.0,10.0,,,70.0,,,,,,,,,,,,100.0
20,7.995,GT,1,5.33,10.66,100.0,,,,,,,,,,,,,,,,100.0
21,5.33,GT,1,5.33,5.33,50.0,,,,,,,,,,,,,50.0,,,100.0
22,4.264,GT,1,1.599,1.599,50.0,50.0,,,,,,,,,,,,,,,100.0
23,23.985,GT,1,7.995,7.995,75.0,25.0,,,,,,,,,,,,,,,100.0
24,31.98,GT,1,10.66,3.5533333333333332,50.0,,,,,,50.0,,,,,,,,,,100.0
25,26.650000000000002,GT,1,10.66,21.32,50.0,,,,30.0,,20.0,,,,,,,,,,100.0
26,53.300000000000004,GT,1,13.325000000000001,57.2975,,,,,,,100.0,,,,,,,,,,100.0
27,400.0,SLV,1,60.0,30.0,100.0,,,,,,,,,,,,,,,,100.0
28,150.0,SLV,1,100.0,100.0,80.0,20.0,,,,,,,,,,,,,,,100.0
29,100.0,SLV,1,100.0,100.0,50.0,50.0,,,,,,,,,,,,,,,100.0
30,300.0,SLV,1,150.0,150.0,60.0,20.0,,,20.0,,,,,,,,,,,,100.0
31,400.0,SLV,2,100.0,16.666666666666668,100.0,,,,,,,,,,,,,,,,100.0
32,550.0,SLV,2,150.0,150.0,100.0,,,,,,,,,,,,,,,,100.0
33,500.0,SLV,2,250.0,250.0,40.0,,,,10.0,,50.0,,,,,,,,,,100.0
34,700.0,SLV,2,400.0,400.0,50.0,25.0,,25.0,,,,,,,,,,,,,100.0
35,350.0,SLV,2,25.0,8.333333333333334,100.0,,,,,,,,,,,,,,,,100.0
36,450.0,SLV,2,100.0,100.0,,,,,,,,,,,,,,,,100.0,100.0
37,1300.0,SLV,2,200.0,200.0,,,,,,,,,,,,,,,,,0.0
38,700.0,SLV,2,50.0,50.0,,70.0,,,,,,,,,,,,,,,70.0
39,200.0,SLV,1,150.0,150.0,70.0,30.0,,,,,,,,,,,,,,,100.0
40,200.0,SLV,1,150.0,150.0,100.0,,,,,,,,,,,,,,,,100.0
41,13.325000000000001,GT,2,13.325000000000001,26.650000000000002,40.0,35.0,,,,25.0,,,,,,,,,,,100.0
42,120.0,SLV,1,100.0,100.0,40.0,50.0,,,10.0,,,,,,,,,,,,100.0
43,200.0,SLV,1,100.0,16.666666666666668,80.0,10.0,,,10.0,,,,,,,,,,,,100.0
44,150.0,SLV,2,50.0,8.333333333333334,75.0,25.0,,,,,,,,,,,,,,,100.0
45,350.0,SLV,2,150.0,150.0,50.0,,,,,50.0,,,,,,,,,,,100.0
46,150.0,SLV,2,50.0,25.0,50.0,,,,50.0,,,,,,,,,,,,100.0
47,5.33,GT,1,15.99,5.33,75.0,25.0,,,,,,,,,,,,,,,100.0
48,13.325000000000001,GT,1,26.650000000000002,13.325000000000001,,,,,,,,,75.0,,,,,,25.0,,100.0
49,800.0,SLV,2,600.0,600.0,20.0,70.0,,,10.0,,,,,,,,,,,,100.0
50,500.0,SLV,2,150.0,75.0,,,,,100.0,,,,,,,,,,,,100.0
51,300.0,SLV,2,100.0,100.0,,,,50.0,50.0,,,,,,,,,,,,100.0
52,13.325000000000001,GT,2,7.995,7.995,,,,100.0,,,,,,,,,,,,,100.0
53,13.325000000000001,GT,2,10.66,10.66,75.0,,,25.0,,,,,,,,,,,,,100.0
54,31.98,GT,1,21.32,42.64,,,,,,,,,,,,,,100.0,,,100.0
