label,name,name_mco,text_content,
organizacion,1,organizacion/1,WFP,
organizacion,2,organizacion/2,OIM,
organizacion,3,organizacion/3,Acción contra el hambre,
organizacion,4,organizacion/4,GVC We World,
organizacion,5,organizacion/5,Vox Latina,
organizacion,6,organizacion/6,Adra,
organizacion,7,organizacion/7,Visión Mundial,
organizacion,8,organizacion/8,Dirección particular de Educación,
organizacion,9,organizacion/9,ADEPES,
organizacion,10,organizacion/10,ADETRIUNFO,
organizacion,11,organizacion/11,ACESH,
organizacion,12,organizacion/12,Otro,
country,GT,country/GT,Guatemala,
country,SLV,country/SLV,El Salvador,
country,HND,country/HND,Honduras,
departamento,GT16,departamento/GT16,Alta Verapaz,
departamento,GT20,departamento/GT20,Chiquimula,
departamento,GT13,departamento/GT13,Huehuetenango,
departamento,GT12,departamento/GT12,San Marcos,
departamento,1184,departamento/1184,Ahuachapan,
departamento,1185,departamento/1185,Cabañas,
departamento,1193,departamento/1193,San Salvador,
departamento,1197,departamento/1197,Usulutan,
departamento,901726,departamento/901726,Choluteca,
departamento,901730,departamento/901730,Cortes,
departamento,901732,departamento/901732,Francisco Morazan,
departamento,901742,departamento/901742,Yoro,
municipio,GT1612,municipio/GT1612,Cahabon,
municipio,GT1614,municipio/GT1614,Chahal,
municipio,GT1613,municipio/GT1613,Chisec,
municipio,GT1601,municipio/GT1601,Coban,
municipio,GT1615,municipio/GT1615,Fray Bartolome de Las Casas,
municipio,GT1611,municipio/GT1611,Lanquin,
municipio,GT1607,municipio/GT1607,Panzos,
municipio,GT1617,municipio/GT1617,Raxruha,
municipio,GT1603,municipio/GT1603,San Cristobal Verapaz,
municipio,GT1610,municipio/GT1610,San Juan Chamelco,
municipio,GT1609,municipio/GT1609,San Pedro Carcha,
municipio,GT1616,municipio/GT1616,Santa Catalina La Tinta,
municipio,GT1602,municipio/GT1602,Santa Cruz Verapaz,
municipio,GT1608,municipio/GT1608,Senahu,
municipio,GT1604,municipio/GT1604,Tactic,
municipio,GT1605,municipio/GT1605,Tamahu,
municipio,GT1606,municipio/GT1606,Tucuru,
municipio,GT2005,municipio/GT2005,Camotan,
municipio,GT2001,municipio/GT2001,Chiquimula,
municipio,GT2008,municipio/GT2008,Concepcion Las Minas,
municipio,GT2007,municipio/GT2007,Esquipulas,
municipio,GT2011,municipio/GT2011,Ipala,
municipio,GT2004,municipio/GT2004,Jocotan,
municipio,GT2006,municipio/GT2006,Olopa,
municipio,GT2009,municipio/GT2009,Quezaltepeque,
municipio,GT2010,municipio/GT2010,San Jacinto,
municipio,GT2002,municipio/GT2002,San Jose La Arada,
municipio,GT2003,municipio/GT2003,San Juan Ermita,
municipio,GT1327,municipio/GT1327,Aguacatan,
municipio,GT1326,municipio/GT1326,Barillas,
municipio,GT1302,municipio/GT1302,Chiantla,
municipio,GT1319,municipio/GT1319,Colotenango,
municipio,GT1322,municipio/GT1322,Concepcion Huista,
municipio,GT1304,municipio/GT1304,Cuilco,
municipio,GT1301,municipio/GT1301,Huehuetenango,
municipio,GT1309,municipio/GT1309,Ixtahuacan,
municipio,GT1307,municipio/GT1307,Jacaltenango,
municipio,GT1312,municipio/GT1312,La Democracia,
municipio,GT1311,municipio/GT1311,La Libertad,
municipio,GT1303,municipio/GT1303,Malacatancito,
municipio,GT1305,municipio/GT1305,Nenton,
municipio,GT1333,municipio/GT1333,Petatan,
municipio,GT1324,municipio/GT1324,San Antonio Huista,
municipio,GT1329,municipio/GT1329,San Gaspar Ixchil,
municipio,GT1316,municipio/GT1316,San Juan Atitan,
municipio,GT1323,municipio/GT1323,San Juan Ixcoy,
municipio,GT1318,municipio/GT1318,San Mateo Ixtatan,
municipio,GT1313,municipio/GT1313,San Miguel Acatan,
municipio,GT1306,municipio/GT1306,San Pedro Necta,
municipio,GT1314,municipio/GT1314,San Rafael La Independencia,
municipio,GT1328,municipio/GT1328,San Rafael Petzal,
municipio,GT1325,municipio/GT1325,San Sebastian Coatan,
municipio,GT1320,municipio/GT1320,San Sebastian Huehuetenango,
municipio,GT1331,municipio/GT1331,Santa Ana Huista,
municipio,GT1310,municipio/GT1310,Santa Barbara,
municipio,GT1317,municipio/GT1317,Santa Eulalia,
municipio,GT1330,municipio/GT1330,Santiago Chimaltenango,
municipio,GT1308,municipio/GT1308,Soloma,
municipio,GT1321,municipio/GT1321,Tectitan,
municipio,GT1315,municipio/GT1315,Todos Santos Cuchumatan,
municipio,GT1332,municipio/GT1332,Union Cantinil,
municipio,GT1217,municipio/GT1217,Ayutla,
municipio,GT1216,municipio/GT1216,Catarina,
municipio,GT1204,municipio/GT1204,Comitancillo,
municipio,GT1206,municipio/GT1206,Concepcion Tutuapa,
municipio,GT1220,municipio/GT1220,El Quetzal,
municipio,GT1214,municipio/GT1214,El Rodeo,
municipio,GT1213,municipio/GT1213,El Tumbador,
municipio,GT1227,municipio/GT1227,Esquipulas Palo Gordo,
municipio,GT1223,municipio/GT1223,Ixchiguan,
municipio,GT1230,municipio/GT1230,La Blanca,
municipio,GT1221,municipio/GT1221,La Reforma,
municipio,GT1215,municipio/GT1215,Malacatan,
municipio,GT1212,municipio/GT1212,Nuevo Progreso,
municipio,GT1218,municipio/GT1218,Ocos,
municipio,GT1222,municipio/GT1222,Pajapita,
municipio,GT1228,municipio/GT1228,Rio Blanco,
municipio,GT1203,municipio/GT1203,San Antonio Sacatepequez,
municipio,GT1225,municipio/GT1225,San Cristobal Cucho,
municipio,GT1224,municipio/GT1224,San Jose Ojetenam,
municipio,GT1229,municipio/GT1229,San Lorenzo,
municipio,GT1201,municipio/GT1201,San Marcos,
municipio,GT1205,municipio/GT1205,San Miguel Ixtahuacan,
municipio,GT1219,municipio/GT1219,San Pablo,
municipio,GT1202,municipio/GT1202,San Pedro Sacatepequez,
municipio,GT1211,municipio/GT1211,San Rafael Pie de la Cuesta,
municipio,GT1208,municipio/GT1208,Sibinal,
municipio,GT1226,municipio/GT1226,Sipacapa,
municipio,GT1207,municipio/GT1207,Tacana,
municipio,GT1209,municipio/GT1209,Tajumulco,
municipio,GT1210,municipio/GT1210,Tejutla,
municipio,15566,municipio/15566,Ahuachapan,
municipio,15567,municipio/15567,Apaneca,
municipio,15568,municipio/15568,Atiquizaya,
municipio,15569,municipio/15569,Concepcion De Ataco,
municipio,15570,municipio/15570,El Refugio,
municipio,15571,municipio/15571,Guaymango,
municipio,15572,municipio/15572,Jujutla,
municipio,15573,municipio/15573,San Francisco Menendez,
municipio,15574,municipio/15574,San Lorenzo,
municipio,15575,municipio/15575,San Pedro Puxtla,
municipio,15576,municipio/15576,Tacuba,
municipio,15577,municipio/15577,Turin,
municipio,15578,municipio/15578,Cinquera,
municipio,15579,municipio/15579,Dolores,
municipio,15580,municipio/15580,Guacotecti,
municipio,15581,municipio/15581,Ilobasco,
