q_index,question,label,type,sample_rsp
start,,start,,2021-04-26T07:11:43.133-06:00
end,,end,,2021-04-26T07:22:23.920-06:00
note_confidenciality,,note_confidenciality,,
p1_1,1.1 Name of the organization or company to which the interviewer belongs:,organizacion,c,6
p1_2,1.2 Survey person code:,survey_pid,t,13
p1_3,1.3 Country:,country,c,HND
p1_4,1.4 Department:,departamento,c,901730
p1_5,1.5 Municipality:,municipio,c,1021521
p1_6,"1.6 Community, Village or Neighborhood:",neighborhood,t,"La Naranjera, Peña Blanca "
p1_7,1.7 Area:,rural_urban,c,2
note_consent_1,,note_consent_1,,
note_consent_2,,note_consent_2,,
note_consent_3,,note_consent_3,,
note_consent_4,,note_consent_4,,
note_consent_5,,note_consent_5,,
note_consent_6,,note_consent_6,,
p2_1,2.1 What is the sex of the person surveyed?,rsp_sex,sexo,2
p2_2,2.2 What is the age of the person surveyed?,rsp_age,n,73
p2_3,2.3 What is the type of family that best defines your home today?,tipo_familia,c,9
p2_3_1,2.3.1 What is the other type of family?,tipo_familia_other,t,
,What is the type of family that best defines your home today? (reduced),family_type_reduced,c,
p2_4,"2.4 Including you, how many people have been in your household in the last 5 years?",hh_size,n,1
note_roster,,note_roster,,
p2_22,2.22 Is there anyone in your household who needs help due to long-term difficulties with any of the following:,vulnerability_longterm,mc,2 1
p2_22/1,,vulnerability_longterm/1,mco,1
p2_22/2,,vulnerability_longterm/2,mco,1
p2_22/3,,vulnerability_longterm/3,mco,0
p2_22/4,,vulnerability_longterm/4,mco,0
p2_22/5,,vulnerability_longterm/5,mco,0
p2_22/6,,vulnerability_longterm/6,mco,0
p2_22/99,,vulnerability_longterm/99,mco,0
note_mig_1,,note_mig_1,,
p3_1,"3.1 Ideally, if you had the opportunity, would you like to move permanently or for a long period to another country?",mig_ext_intention,y_n_ns,0
p3_2,3.2 What are the main reasons why you would like to move to another country?,mig_ext_pref_motivo,mc,
p3_2/1,,mig_ext_pref_motivo/1,mco,
p3_2/2,,mig_ext_pref_motivo/2,mco,
p3_2/3,,mig_ext_pref_motivo/3,mco,
p3_2/4,,mig_ext_pref_motivo/4,mco,
p3_2/5,,mig_ext_pref_motivo/5,mco,
p3_2/6,,mig_ext_pref_motivo/6,mco,
p3_2/7,,mig_ext_pref_motivo/7,mco,
p3_2/8,,mig_ext_pref_motivo/8,mco,
p3_2/9,,mig_ext_pref_motivo/9,mco,
p3_2/10,,mig_ext_pref_motivo/10,mco,
p3_2/11,,mig_ext_pref_motivo/11,mco,
p3_2/12,,mig_ext_pref_motivo/12,mco,
p3_2/13,,mig_ext_pref_motivo/13,mco,
p3_2/14,,mig_ext_pref_motivo/14,mco,
p3_2/15,,mig_ext_pref_motivo/15,mco,
p3_2/16,,mig_ext_pref_motivo/16,mco,
p3_2/99,,mig_ext_pref_motivo/99,mco,
p3_3,3.3 Are you planning to move to another country in the next 12 months?,mig_ext_plan_12months,y_n_ns,
p3_4,3.4 What are the main reasons why you have not planned to move to another country in the next 12 months?,mig_ext_pref_no_plan,mc,
p3_4/1,,mig_ext_pref_no_plan/1,mco,
p3_4/2,,mig_ext_pref_no_plan/2,mco,
p3_4/3,,mig_ext_pref_no_plan/3,mco,
p3_4/4,,mig_ext_pref_no_plan/4,mco,
p3_4/5,,mig_ext_pref_no_plan/5,mco,
p3_4/6,,mig_ext_pref_no_plan/6,mco,
p3_4/7,,mig_ext_pref_no_plan/7,mco,
p3_4/8,,mig_ext_pref_no_plan/8,mco,
p3_4/9,,mig_ext_pref_no_plan/9,mco,
p3_4/10,,mig_ext_pref_no_plan/10,mco,
p3_4/99,,mig_ext_pref_no_plan/99,mco,
p3_5,3.5 Have you made any preparation to move to another country?,mig_ext_preparacion,y_n_ns,
p3_5_1,3.5.1 What preparation have you made to move to another country?,mig_ext_pref_preparacion,mc,
p3_5_1/1,,mig_ext_pref_preparacion/1,mco,
p3_5_1/2,,mig_ext_pref_preparacion/2,mco,
p3_5_1/3,,mig_ext_pref_preparacion/3,mco,
p3_5_1/4,,mig_ext_pref_preparacion/4,mco,
p3_5_1/5,,mig_ext_pref_preparacion/5,mco,
p3_5_1/6,,mig_ext_pref_preparacion/6,mco,
p3_5_1/7,,mig_ext_pref_preparacion/7,mco,
p3_5_1/8,,mig_ext_pref_preparacion/8,mco,
p3_5_1/9,,mig_ext_pref_preparacion/9,mco,
p3_5_1/99,,mig_ext_pref_preparacion/99,mco,
note_mig_1_1,,note_mig_1_1,,
p3_6,"3.6 Ideally, if you had the opportunity, would you like to move to another part of the country?",mig_int_intention,y_n_ns,0
p3_7,3.7 What are the main reasons why you would like to move to another part of the country?,mig_int_pref_motivo,mc,
p3_7/1,,mig_int_pref_motivo/1,mco,
p3_7/2,,mig_int_pref_motivo/2,mco,
p3_7/3,,mig_int_pref_motivo/3,mco,
p3_7/4,,mig_int_pref_motivo/4,mco,
p3_7/5,,mig_int_pref_motivo/5,mco,
p3_7/6,,mig_int_pref_motivo/6,mco,
p3_7/7,,mig_int_pref_motivo/7,mco,
p3_7/8,,mig_int_pref_motivo/8,mco,
p3_7/9,,mig_int_pref_motivo/9,mco,
p3_7/10,,mig_int_pref_motivo/10,mco,
p3_7/11,,mig_int_pref_motivo/11,mco,
p3_7/99,,mig_int_pref_motivo/99,mco,
p3_8,3.8 Are you planning to move to another part of the country in the next 12 months?,mig_int_plan_12months,y_n_ns,
p3_9,3.9 What are the main reasons why you have not planned to move to another part of the country in the next 12 months?,mig_int_pref_no_plan,mc,
p3_9/1,,mig_int_pref_no_plan/1,mco,
p3_9/2,,mig_int_pref_no_plan/2,mco,
p3_9/3,,mig_int_pref_no_plan/3,mco,
p3_9/4,,mig_int_pref_no_plan/4,mco,
p3_9/5,,mig_int_pref_no_plan/5,mco,
p3_9/6,,mig_int_pref_no_plan/6,mco,
p3_9/7,,mig_int_pref_no_plan/7,mco,
p3_9/8,,mig_int_pref_no_plan/8,mco,
p3_9/9,,mig_int_pref_no_plan/9,mco,
