,avg_income_currency,avg_income_amount,AVG_INCOME_USD,country,rural_urban,remesa_currency,remesa_amount,REMESA_AMOUNT_USD,remesa_freq,REMESA_AMOUNT_REGPERMONTH,remittances_yn,remesa_amount_consent,avg_income_consent,pct_remit_towards_Foodpurchase,pct_remit_towards_Healthexpenses(medicines/medicalconsultation),"pct_remit_towards_ExpensesrelatedtoCOVID-19(protectionsupplies,medicalconsultation,medicines)",pct_remit_towards_Educationexpenses,"pct_remit_towards_Paymentofservices(water,electricity,cable,internet,communication)",pct_remit_towards_Clothesandshoes,pct_remit_towards_Housing(constructionorrepair),pct_remit_towards_Housingrentalfee,pct_remit_towards_Homepurchasefee,pct_remit_towards_Purchaseofagriculturalinputs,pct_remit_towards_Business(trade),pct_remit_towards_Saving,pct_remit_towards_Paymentofcommitmentsofmembersresidingabroad,pct_remit_towards_Paymentofthesender'straveldebt,pct_remit_towards_Paymentofotherdebts,pct_remit_towards_Other
0,,,,SLV,2,,,,,,0,,99,,,,,,,,,,,,,,,,
1,1.0,500.0,500.0,SLV,2,,,,3.0,,1,0.0,1,50.0,20.0,,,30.0,,,,,,,,,,,
2,1.0,300.0,300.0,SLV,2,,,,,,0,,1,,,,,,,,,,,,,,,,
3,1.0,350.0,350.0,SLV,2,,,,,,0,,1,,,,,,,,,,,,,,,,
4,1.0,347.0,347.0,SLV,2,,,,,,0,,1,,,,,,,,,,,,,,,,
5,,,,SLV,2,1.0,50.0,50.0,7.0,4.166666666666667,1,1.0,99,100.0,,,,,,,,,,,,,,,
6,1.0,240.0,240.0,SLV,2,1.0,100.0,100.0,3.0,100.0,1,1.0,1,,,,,40.0,,60.0,,,,,,,,,
7,,,,SLV,2,,,,,,0,,0,,,,,,,,,,,,,,,,
8,,,,SLV,2,,,,,,0,,0,,,,,,,,,,,,,,,,
9,,,,SLV,2,,,,3.0,,1,0.0,0,50.0,50.0,,,,,,,,,,,,,,
10,,,,SLV,2,,,,,,0,,0,,,,,,,,,,,,,,,,
11,1.0,350.0,350.0,SLV,2,,,,,,0,,1,,,,,,,,,,,,,,,,
12,1.0,600.0,600.0,SLV,2,1.0,300.0,300.0,5.0,100.0,1,1.0,1,50.0,,,,50.0,,,,,,,,,,,
13,1.0,550.0,550.0,SLV,2,1.0,75.0,75.0,3.0,75.0,1,1.0,1,,,,100.0,,,,,,,,,,,,
14,,,,SLV,2,,,,,,0,,99,,,,,,,,,,,,,,,,
